-0.9910220000,	0.0098245071,	0.1340000000,	-0.0026115489,	1.0000000000,	-0.0192612217,	0.1340000000
-0.9908875000,	0.0098218859,	0.1350000000,	-0.0026308050,	1.0000000000,	-0.0192560828,	0.1350000000
-0.9907520000,	0.0098192455,	0.1360000000,	-0.0026500559,	1.0000000000,	-0.0192509062,	0.1360000000
-0.9906155000,	0.0098165858,	0.1370000000,	-0.0026693016,	1.0000000000,	-0.0192456918,	0.1370000000
-0.9904780000,	0.0098139069,	0.1380000000,	-0.0026885421,	1.0000000000,	-0.0192404397,	0.1380000000
-0.9903395000,	0.0098112087,	0.1390000000,	-0.0027077772,	1.0000000000,	-0.0192351499,	0.1390000000
-0.9902000000,	0.0098084913,	0.1400000000,	-0.0027270070,	1.0000000000,	-0.0192298223,	0.1400000000
-0.9900595000,	0.0098057547,	0.1410000000,	-0.0027462315,	1.0000000000,	-0.0192244571,	0.1410000000
-0.9899180000,	0.0098029989,	0.1420000000,	-0.0027654505,	1.0000000000,	-0.0192190542,	0.1420000000
-0.9897755000,	0.0098002238,	0.1430000000,	-0.0027846642,	1.0000000000,	-0.0192136136,	0.1430000000
-0.9896320000,	0.0097974295,	0.1440000000,	-0.0028038723,	1.0000000000,	-0.0192081354,	0.1440000000
-0.9894875000,	0.0097946161,	0.1450000000,	-0.0028230749,	1.0000000000,	-0.0192026195,	0.1450000000
-0.9893420000,	0.0097917834,	0.1460000000,	-0.0028422720,	1.0000000000,	-0.0191970659,	0.1460000000
-0.9891955000,	0.0097889315,	0.1470000000,	-0.0028614635,	1.0000000000,	-0.0191914747,	0.1470000000
-0.9890480000,	0.0097860605,	0.1480000000,	-0.0028806493,	1.0000000000,	-0.0191858460,	0.1480000000
-0.9888995000,	0.0097831702,	0.1490000000,	-0.0028998295,	1.0000000000,	-0.0191801796,	0.1490000000
-0.9887500000,	0.0097802608,	0.1500000000,	-0.0029190040,	1.0000000000,	-0.0191744756,	0.1500000000
-0.9885995000,	0.0097773322,	0.1510000000,	-0.0029381727,	1.0000000000,	-0.0191687340,	0.1510000000
-0.9884480000,	0.0097743844,	0.1520000000,	-0.0029573356,	1.0000000000,	-0.0191629548,	0.1520000000
-0.9882955000,	0.0097714175,	0.1530000000,	-0.0029764928,	1.0000000000,	-0.0191571381,	0.1530000000
-0.9881420000,	0.0097684315,	0.1540000000,	-0.0029956441,	1.0000000000,	-0.0191512838,	0.1540000000
-0.9879875000,	0.0097654262,	0.1550000000,	-0.0030147895,	1.0000000000,	-0.0191453920,	0.1550000000
-0.9878320000,	0.0097624019,	0.1560000000,	-0.0030339289,	1.0000000000,	-0.0191394626,	0.1560000000
-0.9876755000,	0.0097593584,	0.1570000000,	-0.0030530624,	1.0000000000,	-0.0191334958,	0.1570000000
-0.9875180000,	0.0097562958,	0.1580000000,	-0.0030721899,	1.0000000000,	-0.0191274914,	0.1580000000
-0.9873595000,	0.0097532140,	0.1590000000,	-0.0030913114,	1.0000000000,	-0.0191214495,	0.1590000000
-0.9872000000,	0.0097501131,	0.1600000000,	-0.0031104267,	1.0000000000,	-0.0191153702,	0.1600000000
-0.9870395000,	0.0097469931,	0.1610000000,	-0.0031295360,	1.0000000000,	-0.0191092534,	0.1610000000
-0.9868780000,	0.0097438541,	0.1620000000,	-0.0031486391,	1.0000000000,	-0.0191030991,	0.1620000000
-0.9867155000,	0.0097406959,	0.1630000000,	-0.0031677360,	1.0000000000,	-0.0190969074,	0.1630000000
-0.9865520000,	0.0097375186,	0.1640000000,	-0.0031868267,	1.0000000000,	-0.0190906782,	0.1640000000
-0.9863875000,	0.0097343222,	0.1650000000,	-0.0032059111,	1.0000000000,	-0.0190844117,	0.1650000000
-0.9862220000,	0.0097311068,	0.1660000000,	-0.0032249892,	1.0000000000,	-0.0190781077,	0.1660000000
-0.9860555000,	0.0097278722,	0.1670000000,	-0.0032440609,	1.0000000000,	-0.0190717663,	0.1670000000
-0.9858880000,	0.0097246186,	0.1680000000,	-0.0032631263,	1.0000000000,	-0.0190653875,	0.1680000000
-0.9857195000,	0.0097213460,	0.1690000000,	-0.0032821853,	1.0000000000,	-0.0190589714,	0.1690000000
-0.9855500000,	0.0097180543,	0.1700000000,	-0.0033012378,	1.0000000000,	-0.0190525179,	0.1700000000
-0.9853795000,	0.0097147435,	0.1710000000,	-0.0033202839,	1.0000000000,	-0.0190460270,	0.1710000000
-0.9852080000,	0.0097114137,	0.1720000000,	-0.0033393234,	1.0000000000,	-0.0190394989,	0.1720000000
-0.9850355000,	0.0097080648,	0.1730000000,	-0.0033583563,	1.0000000000,	-0.0190329334,	0.1730000000
-0.9848620000,	0.0097046970,	0.1740000000,	-0.0033773826,	1.0000000000,	-0.0190263305,	0.1740000000
-0.9846875000,	0.0097013101,	0.1750000000,	-0.0033964023,	1.0000000000,	-0.0190196904,	0.1750000000
-0.9845120000,	0.0096979042,	0.1760000000,	-0.0034154153,	1.0000000000,	-0.0190130131,	0.1760000000
-0.9843355000,	0.0096944792,	0.1770000000,	-0.0034344216,	1.0000000000,	-0.0190062984,	0.1770000000
-0.9841580000,	0.0096910353,	0.1780000000,	-0.0034534212,	1.0000000000,	-0.0189995465,	0.1780000000
-0.9839795000,	0.0096875724,	0.1790000000,	-0.0034724139,	1.0000000000,	-0.0189927573,	0.1790000000
-0.9838000000,	0.0096840905,	0.1800000000,	-0.0034913999,	1.0000000000,	-0.0189859309,	0.1800000000
-0.9836195000,	0.0096805896,	0.1810000000,	-0.0035103789,	1.0000000000,	-0.0189790673,	0.1810000000
-0.9834380000,	0.0096770697,	0.1820000000,	-0.0035293511,	1.0000000000,	-0.0189721665,	0.1820000000
-0.9832555000,	0.0096735309,	0.1830000000,	-0.0035483163,	1.0000000000,	-0.0189652286,	0.1830000000
-0.9830720000,	0.0096699731,	0.1840000000,	-0.0035672746,	1.0000000000,	-0.0189582534,	0.1840000000
-0.9828875000,	0.0096663963,	0.1850000000,	-0.0035862258,	1.0000000000,	-0.0189512411,	0.1850000000
-0.9827020000,	0.0096628006,	0.1860000000,	-0.0036051700,	1.0000000000,	-0.0189441916,	0.1860000000
-0.9825155000,	0.0096591860,	0.1870000000,	-0.0036241071,	1.0000000000,	-0.0189371050,	0.1870000000
-0.9823280000,	0.0096555524,	0.1880000000,	-0.0036430371,	1.0000000000,	-0.0189299813,	0.1880000000
-0.9821395000,	0.0096518999,	0.1890000000,	-0.0036619599,	1.0000000000,	-0.0189228204,	0.1890000000
-0.9819500000,	0.0096482285,	0.1900000000,	-0.0036808755,	1.0000000000,	-0.0189156225,	0.1900000000
-0.9817595000,	0.0096445382,	0.1910000000,	-0.0036997839,	1.0000000000,	-0.0189083875,	0.1910000000
-0.9815680000,	0.0096408289,	0.1920000000,	-0.0037186850,	1.0000000000,	-0.0189011154,	0.1920000000
-0.9813755000,	0.0096371008,	0.1930000000,	-0.0037375788,	1.0000000000,	-0.0188938063,	0.1930000000
-0.9811820000,	0.0096333538,	0.1940000000,	-0.0037564653,	1.0000000000,	-0.0188864602,	0.1940000000
-0.9809875000,	0.0096295878,	0.1950000000,	-0.0037753444,	1.0000000000,	-0.0188790770,	0.1950000000
-0.9807920000,	0.0096258031,	0.1960000000,	-0.0037942160,	1.0000000000,	-0.0188716568,	0.1960000000
-0.9805955000,	0.0096219994,	0.1970000000,	-0.0038130802,	1.0000000000,	-0.0188641997,	0.1970000000
-0.9803980000,	0.0096181769,	0.1980000000,	-0.0038319369,	1.0000000000,	-0.0188567055,	0.1980000000
-0.9801995000,	0.0096143355,	0.1990000000,	-0.0038507861,	1.0000000000,	-0.0188491744,	0.1990000000
-0.9800000000,	0.0096104753,	0.2000000000,	-0.0038696277,	1.0000000000,	-0.0188416064,	0.2000000000
-0.9797995000,	0.0096065963,	0.2010000000,	-0.0038884617,	1.0000000000,	-0.0188340014,	0.2010000000
-0.9795980000,	0.0096026984,	0.2020000000,	-0.0039072881,	1.0000000000,	-0.0188263595,	0.2020000000
-0.9793955000,	0.0095987817,	0.2030000000,	-0.0039261068,	1.0000000000,	-0.0188186807,	0.2030000000
-0.9791920000,	0.0095948462,	0.2040000000,	-0.0039449177,	1.0000000000,	-0.0188109650,	0.2040000000
-0.9789875000,	0.0095908919,	0.2050000000,	-0.0039637209,	1.0000000000,	-0.0188032124,	0.2050000000
-0.9787820000,	0.0095869187,	0.2060000000,	-0.0039825164,	1.0000000000,	-0.0187954230,	0.2060000000
-0.9785755000,	0.0095829268,	0.2070000000,	-0.0040013040,	1.0000000000,	-0.0187875967,	0.2070000000
-0.9783680000,	0.0095789161,	0.2080000000,	-0.0040200837,	1.0000000000,	-0.0187797337,	0.2080000000
-0.9781595000,	0.0095748866,	0.2090000000,	-0.0040388555,	1.0000000000,	-0.0187718338,	0.2090000000
-0.9779500000,	0.0095708384,	0.2100000000,	-0.0040576194,	1.0000000000,	-0.0187638971,	0.2100000000
-0.9777395000,	0.0095667714,	0.2110000000,	-0.0040763753,	1.0000000000,	-0.0187559236,	0.2110000000
-0.9775280000,	0.0095626856,	0.2120000000,	-0.0040951233,	1.0000000000,	-0.0187479134,	0.2120000000
-0.9773155000,	0.0095585812,	0.2130000000,	-0.0041138631,	1.0000000000,	-0.0187398664,	0.2130000000
-0.9771020000,	0.0095544579,	0.2140000000,	-0.0041325949,	1.0000000000,	-0.0187317827,	0.2140000000
-0.9768875000,	0.0095503160,	0.2150000000,	-0.0041513186,	1.0000000000,	-0.0187236622,	0.2150000000
-0.9766720000,	0.0095461553,	0.2160000000,	-0.0041700341,	1.0000000000,	-0.0187155051,	0.2160000000
-0.9764555000,	0.0095419759,	0.2170000000,	-0.0041887414,	1.0000000000,	-0.0187073113,	0.2170000000
-0.9762380000,	0.0095377778,	0.2180000000,	-0.0042074405,	1.0000000000,	-0.0186990808,	0.2180000000
-0.9760195000,	0.0095335610,	0.2190000000,	-0.0042261313,	1.0000000000,	-0.0186908137,	0.2190000000
-0.9758000000,	0.0095293255,	0.2200000000,	-0.0042448138,	1.0000000000,	-0.0186825099,	0.2200000000
-0.9755795000,	0.0095250714,	0.2210000000,	-0.0042634880,	1.0000000000,	-0.0186741695,	0.2210000000
-0.9753580000,	0.0095207985,	0.2220000000,	-0.0042821538,	1.0000000000,	-0.0186657925,	0.2220000000
-0.9751355000,	0.0095165071,	0.2230000000,	-0.0043008111,	1.0000000000,	-0.0186573789,	0.2230000000
-0.9749120000,	0.0095121969,	0.2240000000,	-0.0043194601,	1.0000000000,	-0.0186489288,	0.2240000000
-0.9746875000,	0.0095078681,	0.2250000000,	-0.0043381005,	1.0000000000,	-0.0186404421,	0.2250000000
-0.9744620000,	0.0095035207,	0.2260000000,	-0.0043567324,	1.0000000000,	-0.0186319189,	0.2260000000
-0.9742355000,	0.0094991547,	0.2270000000,	-0.0043753558,	1.0000000000,	-0.0186233591,	0.2270000000
-0.9740080000,	0.0094947700,	0.2280000000,	-0.0043939705,	1.0000000000,	-0.0186147628,	0.2280000000
-0.9737795000,	0.0094903667,	0.2290000000,	-0.0044125767,	1.0000000000,	-0.0186061301,	0.2290000000
-0.9735500000,	0.0094859448,	0.2300000000,	-0.0044311741,	1.0000000000,	-0.0185974609,	0.2300000000
-0.9733195000,	0.0094815044,	0.2310000000,	-0.0044497629,	1.0000000000,	-0.0185887552,	0.2310000000
-0.9730880000,	0.0094770453,	0.2320000000,	-0.0044683429,	1.0000000000,	-0.0185800131,	0.2320000000
-0.9728555000,	0.0094725677,	0.2330000000,	-0.0044869141,	1.0000000000,	-0.0185712346,	0.2330000000
-0.9726220000,	0.0094680715,	0.2340000000,	-0.0045054766,	1.0000000000,	-0.0185624196,	0.2340000000
-0.9723875000,	0.0094635567,	0.2350000000,	-0.0045240301,	1.0000000000,	-0.0185535683,	0.2350000000
-0.9721520000,	0.0094590234,	0.2360000000,	-0.0045425748,	1.0000000000,	-0.0185446806,	0.2360000000
-0.9719155000,	0.0094544716,	0.2370000000,	-0.0045611106,	1.0000000000,	-0.0185357566,	0.2370000000
-0.9716780000,	0.0094499012,	0.2380000000,	-0.0045796374,	1.0000000000,	-0.0185267963,	0.2380000000
-0.9714395000,	0.0094453123,	0.2390000000,	-0.0045981552,	1.0000000000,	-0.0185177996,	0.2390000000
-0.9712000000,	0.0094407049,	0.2400000000,	-0.0046166639,	1.0000000000,	-0.0185087666,	0.2400000000
